doc_no,sale_date,partner_inn,item_code,qty,price
SALE-001,2026-03-01,7701234567,A0001,2,95.50
SALE-002,2026-03-02,7812345678,A0002,5,68.00
SALE-003,2026-03-03,540987654321,A0003,3,45.00
SALE-004,2026-03-04,6678123456,A0004,4,52.30
SALE-005,2026-03-05,7701234567,A0005,2.5,120.00
SALE-006,2026-03-06,7812345678,A0006,10,15.00
SALE-007,2026-03-07,6678123456,A0007,6,32.50
SALE-008,2026-03-08,540987654321,A0008,1.8,89.90
SALE-009,2026-03-09,7701234567,A0009,7,110.00
SALE-010,2026-03-10,7812345678,A0010,4,40.00
